schedule_id,po_number,item_original,item_code,match_source
1053,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1054,PO-MRP002541,BR60 WIRE SWM-B Ø 6.0 mm CARRER,BR60,code_token
1055,PO-MRP002541,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
1056,PO-MRP002541,BR80 WIRE SWM-B Ø8.0 mm CARRER,BR80,code_token
1057,PO-MRP002539,BR40 WIRE SWM-B Ø4.0 mm CARRER,BR40,code_token
1058,PO-MRP002539,BR45 WIRE SWM-B Ø4.5 mm CARRER,BR45,code_token
1059,PO-MRP002539,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1060,PO-MRP002539,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1061,PO-MRP002539,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
1062,PO-MRP002539,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1063,PO-MRP002540,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1064,PO-MRP002540,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1065,PO-MRP002540,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1066,PO-MRP002496,STKM-370G D25.4 X 1.6 X 569.5,B61,name_fuzzy
1067,PO-MRP002496,STKM-370G D25.4 X 1.6 X 569.5,B61,name_fuzzy
1068,PO-MRP002496,STKM-370G D25.4 X 1.2 X 607.5,B73,name_fuzzy
1069,PO-MRP002496,STKM-370G D25.4 X 1.2 X 607.5,B73,name_fuzzy
1070,PO-MRP002496,STKM-370G D25.4 X 1.2 X 607.5,B73,name_fuzzy
1071,PO-MRP002496,"STKM-370G D25,4 X 1,6 X 681",C69,name_fuzzy
1072,PO-MRP002496,"STKM-370G D25,4 X 1,6 X 681",C69,name_fuzzy
1073,PO-MRP002496,STKM-370G D12.0 X 0.7 X 637,M69,name_fuzzy
1074,PO-MRP002496,STKM-370G D12.0 X 0.7 X 637,M69,name_fuzzy
1075,PO-MRP002496,STKM-370G D25.4 X 1.2 X 1136,VT1,name_fuzzy
1076,PO-MRP002496,"STKM-370G D22,2 X 1,6 X 733",VT8,name_fuzzy
1077,PO-MRP002496,"STKM-370G D22,2 X 1,6 X 733",VT8,name_fuzzy
1078,PO-MRP002496,"STKM-370G D22,2 X 1,6 X 733",VT8,name_fuzzy
1079,PO-MRP002499,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
1080,PO-MRP002499,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
1081,PO-MRP002499,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
1082,PO-MRP002499,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
1083,PO-MRP002499,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
1084,PO-MRP002499,"DT77 STKM-11A D12,0 X 0,8 X 766",DT77,code_token
1085,PO-MRP002499,"DT77 STKM-11A D12,0 X 0,8 X 766",DT77,code_token
1086,PO-MRP002499,"DT77 STKM-11A D12,0 X 0,8 X 766",DT77,code_token
1087,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1088,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
1089,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
1091,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1092,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
1093,PO-MRP002390,R40 WIRE SWM-B Ø4.0 mm CARRER,R40,code_token
1094,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
1095,PO-MRP002390,R40 WIRE SWM-B Ø4.0 mm CARRER,R40,code_token
1096,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
1098,PO-MRP002541,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
1099,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
1100,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1101,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1102,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
1103,PO-MRP002496,STKM-370G D12.0 X 0.7 X 637,M69,name_fuzzy
