schedule_id,po_number,item_original,item_code,match_source
277,PO-MRP002407,"C69 STKM-370G D25,4 X 1,6 X 681",C69,code_token
278,PO-MRP002407,M69 STKM-370G D12.0 X 0.7 X 637,M69,code_token
279,PO-MRP002407,M69 STKM-370G D12.0 X 0.7 X 637,M69,code_token
280,PO-MRP002407,M69 STKM-370G D12.0 X 0.7 X 637,M69,code_token
281,PO-MRP002407,VT1 STKM-370G D25.4 X 1.2 X 1136,VT1,code_token
282,PO-MRP002407,VT1 STKM-370G D25.4 X 1.2 X 1136,VT1,code_token
283,PO-MRP002407,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
284,PO-MRP002407,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
285,PO-MRP002407,"VT8 STKM-370G D22,2 X 1,6 X 733",VT8,code_token
286,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
287,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
288,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
289,PO-MRP002408,DT18 STKM-11A Ø12 X 0.8 X 874,DT18,code_token
290,PO-MRP002408,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
291,PO-MRP002408,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
292,PO-MRP002408,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
293,PO-MRP002408,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
294,PO-MRP002408,DT17 STKM-13A D12 X 0.7 X 639,DT17,code_token
